db_inst,year_month,employee_id,instance_server_id,instance_server_channel_id
hms_inst1,2025-12,20210114AC9BFC82BAFD,20210106DC750A33477A,2021010690C1157EC499
hms_inst1,2025-12,20210114AD3BA7D32B6F,20210106DC750A33477A,2021010690C1157EC499
hms_inst1,2025-12,20210114BA217253C1BC,20210106DC750A33477A,2021010690C1157EC499
hms_inst1,2025-12,20210114D4B0735571C5,20210106DC750A33477A,2021010690C1157EC499
hms_inst1,2025-12,20210114DABA776636BD,20210106DC750A33477A,2021010690C1157EC499
hms_inst1,2025-12,20210114DCFBCA8817FA,20210106DC750A33477A,2021010690C1157EC499
hms_inst1,2025-12,20210114FF75348F1A49,20210106DC750A33477A,2021010690C1157EC499
hms_inst1,2025-12,20210119B26E712F41B3,20210106DC750A33477A,2021010690C1157EC499
hms_inst1,2025-12,202201159B1560BAF994,20210106DC750A33477A,2021010690C1157EC499
hms_inst1,2025-12,202205213126A257DC90,20210106DC750A33477A,2021010690C1157EC499
hms_inst1,2025-12,202205213990AA888D8E,20210106DC750A33477A,2021010690C1157EC499
hms_inst1,2025-12,2022052193ED74E7EE4B,20210106DC750A33477A,2021010690C1157EC499
hms_inst1,2025-12,20220521EB89710EAB87,20210106DC750A33477A,2021010690C1157EC499
hms_inst1,2025-12,20220521EDCD2EB4FAEE,20210106DC750A33477A,2021010690C1157EC499
hms_inst1,2025-12,20240603BE36AF4AFFB2,20210106DC750A33477A,2021010690C1157EC499
hms_inst1,2025-12,20210112186F7C9838B8,2021011299AC94DD4C97,20210112CD66D150B63F
hms_inst1,2025-12,2021011246761F5CA70A,2021011299AC94DD4C97,20210112CD66D150B63F
hms_inst1,2025-12,20210112E218AE6807E6,2021011299AC94DD4C97,20210112CD66D150B63F
hms_inst1,2025-12,2022032342E6A3F7EAB0,2021011299AC94DD4C97,20210112CD66D150B63F
hms_inst1,2025-12,20250115E30267B91FE2,2021011299AC94DD4C97,20210112CD66D150B63F
hms_inst1,2025-12,20250205239AD0510CA1,2021011299AC94DD4C97,20210112CD66D150B63F
hms_inst1,2025-12,202510307307BD3280E4,2021011299AC94DD4C97,20210112CD66D150B63F
hms_inst1,2025-12,20251030C08EFC33FF22,2021011299AC94DD4C97,20210112CD66D150B63F
hms_inst1,2025-12,20251108CC1A59F503D2,2021011299AC94DD4C97,20210112CD66D150B63F
hms_inst1,2025-12,20210216D59209786F87,20210216FBE603DD8FB4,202102161A1277417B16
hms_inst1,2025-12,202102173CAFBE6110F0,20210216FBE603DD8FB4,202102161A1277417B16
hms_inst1,2025-12,20210217A440D98334EE,20210216FBE603DD8FB4,202102161A1277417B16
hms_inst1,2025-12,20210429590453D30D0E,20210216FBE603DD8FB4,202102161A1277417B16
hms_inst1,2025-12,20210616EFC28D8DB534,20210216FBE603DD8FB4,202102161A1277417B16
hms_inst1,2025-12,20210731C995152E4B8B,20210216FBE603DD8FB4,202102161A1277417B16
hms_inst1,2025-12,20220825341B3B049789,20210216FBE603DD8FB4,202102161A1277417B16
hms_inst1,2025-12,20230322723C8B634F94,20210216FBE603DD8FB4,202102161A1277417B16
hms_inst1,2025-12,2023101774F0F2682696,20210216FBE603DD8FB4,202102161A1277417B16
hms_inst1,2025-12,202404154BBE1070394D,20210216FBE603DD8FB4,202102161A1277417B16
hms_inst1,2025-12,20240415E103FE60193F,20210216FBE603DD8FB4,202102161A1277417B16
hms_inst1,2025-12,20240612BD164963E34B,20210216FBE603DD8FB4,202102161A1277417B16
hms_inst1,2025-12,202407152EBA3845A1AB,20210216FBE603DD8FB4,202102161A1277417B16
hms_inst1,2025-12,2024073085085242FC70,20210216FBE603DD8FB4,202102161A1277417B16
hms_inst1,2025-12,2024120901591EA5F7A5,20210216FBE603DD8FB4,202102161A1277417B16
hms_inst1,2025-12,2025050283F45DAFB4E1,20210216FBE603DD8FB4,202102161A1277417B16
hms_inst1,2025-12,202505029CC64F923A2C,20210216FBE603DD8FB4,202102161A1277417B16
hms_inst1,2025-12,202103061555E36C4FF2,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,20210306392A320D54A5,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,2021030655867FF4372A,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,202103067D9338F5016A,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,202103067EEBABE67C89,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,20210306864505F0B7F3,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,202103068DA5DE2C9C6A,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,202103069335499D1B7A,2021030316AD873A9D91,20210304BB894995B1FA
